Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
picasso,,46,48.1,280.7770,,81,84.1,40.1560,,105,107.1,31.1960,,87,90.2,53.5350,,87,89.9,271.0380,,99,101.7,40.1560,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pid,,44,45.1,264.9550,,78,82.0,35.5460,,99,102.8,28.9680,,80,85.1,414.5290,,82,84.9,497.2340,,93,97.3,35.5460,,-,-,-,,-,-,-,,-,-,-,,-,-,-
prpmc1100,,43,45.8,268.1140,,67,73.4,40.5160,,98,102.1,28.4020,,78,83.7,666.0150,,81,83.9,366.4060,,90,94.8,40.5160,,-,-,-,,-,-,-,,-,-,-,,-,-,-
psim,,42,45.3,229.3210,,68,70.7,36.9480,,95,99.5,26.0700,,76,81.1,426.4190,,76,81.2,455.7260,,84,91.9,36.9480,,-,-,-,,163,174.2,3547.3880,,-,-,-,,-,-,-
rattler,,51,52.8,367.0990,,88,92.5,47.8270,,112,116.4,37.7110,,90,95.2,367.2140,,90,95.9,440.8000,,104,109.9,47.8270,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ref4955,,44,44.8,265.1530,,75,78.5,36.5500,,97,101.5,28.3420,,79,84.7,288.7730,,80,84.9,197.2470,,93,95.6,36.5500,,-,-,-,,-,-,-,,-,-,-,,-,-,-
refidt334,,52,54.6,252.8090,,84,89.5,43.2730,,110,113.5,33.8340,,89,94.5,676.9860,,88,94.0,478.4870,,101,106.6,43.2730,,-,-,-,,-,-,-,,-,-,-,,-,-,-
sa1100mm,,44,45.2,249.7290,,75,77.7,38.0430,,98,101.7,28.8700,,81,84.9,630.1640,,80,84.7,355.5400,,91,96.0,38.0430,,-,-,-,,-,-,-,,-,-,-,,-,-,-
sam7ex256,,47,50.3,293.1680,,86,88.2,45.9090,,105,109.6,36.4370,,91,93.5,432.6910,,91,93.5,177.0940,,102,104.5,45.9090,,-,-,-,,-,-,-,,-,-,-,,-,-,-
se7751,,52,54.2,337.9600,,100,102.6,42.2760,,117,118.5,37.2980,,97,100.8,350.8500,,97,101.0,230.2010,,110,114.0,42.2760,,-,-,-,,-,-,-,,-,-,-,,-,-,-
